"level","number","x1","y1","x2","y2",
"line","A",662,185,915,207,
"line","B",702,215,1022,237,
"line","C",703,275,1269,298,
"line","C",745,305,890,326,
"line","C",745,335,890,357,
"line","C",745,365,890,387,
"line","C",745,395,890,417,
"line","C",703,422,723,448,
"line","D",703,483,910,508,
"line","D",745,515,1080,536,
"line","D",745,545,1080,568,
"line","D",745,605,1278,628,
"line","D",745,665,910,688,
"line","D",703,692,723,720,
"line","E",703,755,1159,778,
"line","E",743,785,1279,808,
"line","E",743,815,1030,838,
"line","E",703,842,723,870,
"line","F",662,873,685,899,